Tiempo [h];Tiempo [s];Dato;Altura de Vela [cm];Altura Vela [mm];Ancho de Vela [mm];Seccion de la Vela [mm^2];Altura de llama [cm];Altura de llama [mm];Temperatura
0;0;0;16,973;169,73;12,93794153;81,29148412;3,022;30,22;82,97
0,001;5;1;16,96621216;169,6621216;12,94228723;81,31878898;3,022;30,22;82,48
0,003;10;2;16,95942703;169,5942703;12,9466312;81,34608291;4,277;42,767;81,99
0,004;15;3;16,95264462;169,5264462;12,95097342;81,37336593;3,572;35,716;81,5
0,006;20;4;16,94586491;169,4586491;12,95531391;81,40063804;3,022;30,22;81,5
0,007;25;5;16,93908792;169,3908792;12,95965267;81,42789924;3,273;32,733;81,5
0,008;30;6;16,93231364;169,3231364;12,96398969;81,45514954;3,266;32,662;83,46
0,01;35;7;16,92554207;169,2554207;12,96832497;81,48238894;4,48;44,801;83,95
0,011;40;8;16,91877321;169,1877321;12,97265853;81,50961745;3,022;30,22;86,88
0,013;45;9;16,91200705;169,1200705;12,97699034;81,53683507;3,273;32,733;85,41
0,014;50;10;16,9052436;169,052436;12,98132043;81,5640418;3,253;32,526;85,41
0,015;55;11;16,89848286;168,9848286;12,98564879;81,59123765;3,022;30,22;84,43
0,017;60;12;16,89172482;168,9172482;12,98997541;81,61842263;4,735;47,354;84,43
0,018;65;13;16,88496948;168,8496948;12,9943003;81,64559673;3,418;34,176;83,46
0,019;70;14;16,87821684;168,7821684;12,99862347;81,67275997;3,271;32,711;83,46
0,021;75;15;16,8714669;168,714669;13,0029449;81,69991235;3,6;36,002;82,48
0,022;80;16;16,86471967;168,6471967;13,00726461;81,72705386;4,79;47,903;82,48
0,024;85;17;16,85797513;168,5797513;13,01158259;81,75418452;3,022;30,22;82,48
0,025;90;18;16,85123329;168,5123329;13,01589884;81,78130433;3,273;32,733;81,5
0,026;95;19;16,84449414;168,4449414;13,02021336;81,8084133;4,133;41,325;81,99
0,028;100;20;16,83775769;168,3775769;13,02452616;81,83551142;3,022;30,22;81,5
0,029;105;21;16,83102393;168,3102393;13,02883724;81,86259871;4,782;47,815;81,5
0,031;110;22;16,82429287;168,2429287;13,03314659;81,88967516;3,273;32,733;81,5
0,032;115;23;16,8175645;168,175645;13,03745422;81,91674079;3,383;33,832;81,5
0,033;120;24;16,81083882;168,1083882;13,04176012;81,94379559;3,022;30,22;82,48
0,035;125;25;16,80411583;168,0411583;13,04606431;81,97083957;4,749;47,493;83,95
0,036;130;26;16,79739553;167,9739553;13,05036677;81,99787274;3,719;37,189;82,97
0,038;135;27;16,79067791;167,9067791;13,05466751;82,0248951;3,273;32,733;83,46
0,039;140;28;16,78396298;167,8396298;13,05896653;82,05190664;3,022;30,22;81,5
0,04;145;29;16,77725074;167,7725074;13,06326383;82,07890739;4,797;47,968;81,5
0,042;150;30;16,77054118;167,7054118;13,06755942;82,10589734;4,202;42,015;82,97
0,043;155;31;16,76383431;167,6383431;13,07185328;82,13287649;3,581;35,812;82,48
0,044;160;32;16,75713011;167,5713011;13,07614543;82,15984486;3,022;30,22;82,97
0,046;165;33;16,7504286;167,504286;13,08043586;82,18680244;4,55;45,499;81,99
0,047;170;34;16,74372977;167,4372977;13,08472458;82,21374924;3,581;35,812;81,99
0,049;175;35;16,73703362;167,3703362;13,08901158;82,24068526;4,099;40,99;81,99
0,05;180;36;16,73034014;167,3034014;13,09329687;82,26761051;3,273;32,733;81,99
0,051;185;37;16,72364935;167,2364935;13,09758044;82,29452499;4,807;48,07;81,5
0,053;190;38;16,71696122;167,1696122;13,1018623;82,32142871;3,851;38,515;81,99
0,054;195;39;16,71027578;167,1027578;13,10614245;82,34832167;4,772;47,724;82,48
0,056;200;40;16,703593;167,03593;13,11042088;82,37520387;3,452;34,519;82,48
0,057;205;41;16,6969129;166,969129;13,11469761;82,40207532;3,273;32,733;81,5
0,058;210;42;16,69023547;166,9023547;13,11897262;82,42893603;4,712;47,121;82,97
0,06;215;43;16,68356071;166,8356071;13,12324593;82,45578599;4,772;47,724;82,97
0,061;220;44;16,67688862;166,7688862;13,12751752;82,48262522;3,304;33,042;83,46
0,063;225;45;16,6702192;166,702192;13,13178741;82,50945371;3,273;32,733;82,48
0,064;230;46;16,66355245;166,6355245;13,13605559;82,53627148;4,712;47,121;82,48
0,065;235;47;16,65688836;166,5688836;13,14032206;82,56307852;3,304;33,042;83,46
0,067;240;48;16,65022694;166,5022694;13,14458683;82,58987483;3,273;32,733;83,46
0,068;245;49;16,64356818;166,4356818;13,14884989;82,61666044;4,839;48,387;83,46
0,069;250;50;16,63691208;166,3691208;13,15311125;82,64343533;4,169;41,692;84,43
0,071;255;51;16,63025865;166,3025865;13,1573709;82,67019951;3,271;32,711;83,95
0,072;260;52;16,62360787;166,2360787;13,16162885;82,69695299;3,022;30,22;84,43
0,074;265;53;16,61695976;166,1695976;13,16588509;82,72369577;4,97;49,698;86,39
0,075;270;54;16,61031431;166,1031431;13,17013964;82,75042785;4,286;42,864;84,92
0,076;275;55;16,60367151;166,0367151;13,17439248;82,77714924;3,273;32,733;83,95
0,078;280;56;16,59703137;165,9703137;13,17864362;82,80385995;3,234;32,341;83,46
0,079;285;57;16,59039388;165,9039388;13,18289306;82,83055998;3,057;30,573;83,46
0,081;290;58;16,58375905;165,8375905;13,1871408;82,85724932;4,857;48,574;82,48
0,082;295;59;16,57712688;165,7712688;13,19138684;82,883928;3,246;32,463;83,46
0,083;300;60;16,57049735;165,7049735;13,19563119;82,910596;3,273;32,733;82,97
0,085;305;61;16,56387048;165,6387048;13,19987384;82,93725334;3,022;30,22;83,46
0,086;310;62;16,55724625;165,5724625;13,20411479;82,96390002;4,847;48,469;82,97
0,088;315;63;16,55062468;165,5062468;13,20835404;82,99053604;3,39;33,903;82,48
0,089;320;64;16,54400575;165,4400575;13,2125916;83,01716141;3,273;32,733;81,99
0,09;325;65;16,53738948;165,3738948;13,21682746;83,04377613;3,378;33,776;81,99
0,092;330;66;16,53077584;165,3077584;13,22106163;83,07038021;4,747;47,475;83,46
0,093;335;67;16,52416485;165,2416485;13,22529411;83,09697365;3,273;32,733;83,95
0,094;340;68;16,51755651;165,1755651;13,2295249;83,12355645;3,022;30,22;83,46
0,096;345;69;16,51095081;165,1095081;13,23375399;83,15012862;3,163;31,631;82,97
0,097;350;70;16,50434775;165,0434775;13,23798139;83,17669017;4,426;44,259;83,95
0,099;355;71;16,49774733;164,9774733;13,2422071;83,20324109;3,273;32,733;83,95
0,1;360;72;16,49114955;164,9114955;13,24643112;83,22978139;3,273;32,733;82,97
0,101;365;73;16,48455441;164,8455441;13,25065345;83,25631108;4,148;41,479;83,95
0,103;370;74;16,47796191;164,7796191;13,2548741;83,28283016;3,022;30,22;83,95
0,104;375;75;16,47137204;164,7137204;13,25909305;83,30933864;4,371;43,712;84,43
0,106;380;76;16,46478481;164,6478481;13,26331032;83,33583651;3,273;32,733;84,43
0,107;385;77;16,45820021;164,5820021;13,2675259;83,36232379;4,012;40,116;82,48
0,108;390;78;16,45161825;164,5161825;13,27173979;83,38880047;3,027;30,272;82,97
0,11;395;79;16,44503892;164,4503892;13,275952;83,41526657;4,475;44,745;83,46
0,111;400;80;16,43846222;164,3846222;13,28016253;83,44172208;4,029;40,289;82,48
0,113;405;81;16,43188815;164,3188815;13,28437137;83,46816701;3,271;32,711;81,02
0,114;410;82;16,42531671;164,2531671;13,28857853;83,49460137;3,344;33,438;82,48
0,115;415;83;16,41874789;164,1874789;13,292784;83,52102515;4,773;47,725;82,48
0,117;420;84;16,41218171;164,1218171;13,2969878;83,54743837;3,022;30,22;82,48
0,118;425;85;16,40561815;164,0561815;13,30118991;83,57384102;3,273;32,733;82,97
0,119;430;86;16,39905721;163,9905721;13,30539034;83,60023311;4,002;40,018;82,97
0,121;435;87;16,3924989;163,924989;13,3095891;83,62661465;4,608;46,082;82,97
0,122;440;88;16,38594321;163,8594321;13,31378617;83,65298564;3,022;30,22;83,95
0,124;445;89;16,37939015;163,7939015;13,31798156;83,67934609;3,273;32,733;83,46
0,125;450;90;16,3728397;163,728397;13,32217528;83,70569599;4,016;40,165;83,46
0,126;455;91;16,36629188;163,6629188;13,32636732;83,73203535;4,682;46,815;82,97
0,128;460;92;16,35974667;163,5974667;13,33055768;83,75836418;3,271;32,711;82,48
0,129;465;93;16,35320408;163,5320408;13,33474637;83,78468248;3,128;31,278;81,5
0,131;470;94;16,3466641;163,466641;13,33893338;83,81099025;4,719;47,189;81,5
0,132;475;95;16,34012675;163,4012675;13,34311872;83,83728751;3,273;32,733;82,48
0,133;480;96;16,333592;163,33592;13,34730239;83,86357424;3,244;32,435;81,5
0,135;485;97;16,32705987;163,2705987;13,35148438;83,88985047;4,719;47,189;82,97
0,136;490;98;16,32053035;163,2053035;13,3556647;83,91611618;3,057;30,573;81,5
0,138;495;99;16,31400345;163,1400345;13,35984334;83,94237139;3,273;32,733;82,48
0,139;500;100;16,30747915;163,0747915;13,36402032;83,9686161;3,254;32,542;82,48
0,14;505;101;16,30095746;163,0095746;13,36819562;83,99485032;4,875;48,747;82,97
0,142;510;102;16,29443838;162,9443838;13,37236926;84,02107404;4,201;42,008;82,97
0,143;515;103;16,28792191;162,8792191;13,37654122;84,04728728;3,273;32,733;85,41
0,144;520;104;16,28140805;162,8140805;13,38071152;84,07349003;3,236;32,361;85,9
0,146;525;105;16,27489679;162,7489679;13,38488015;84,09968231;4,831;48,311;94,2
0,147;530;106;16,26838813;162,6838813;13,38904711;84,12586411;3,057;30,573;93,71
0,149;535;107;16,26188207;162,6188207;13,39321241;84,15203544;3,273;32,733;91,76
0,15;540;108;16,25537862;162,5537862;13,39737604;84,1781963;3,254;32,542;88,83
0,151;545;109;16,24887777;162,4887777;13,40153801;84,2043467;3,057;30,573;88,34
0,153;550;110;16,24237952;162,4237952;13,40569831;84,23048664;4,954;49,542;86,39
0,154;555;111;16,23588387;162,3588387;13,40985695;84,25661613;3,276;32,761;85,41
0,156;560;112;16,22939081;162,2939081;13,41401392;84,28273517;3,057;30,573;85,41
0,157;565;113;16,22290035;162,2290035;13,41816923;84,30884376;4,719;47,187;85,41
0,158;570;114;16,21641249;162,1641249;13,42232288;84,33494191;4,036;40,356;84,92
0,16;575;115;16,20992722;162,0992722;13,42647487;84,36102963;3,093;30,926;84,92
0,161;580;116;16,20344455;162,0344455;13,4306252;84,38710691;4,905;49,052;83,95
0,163;585;117;16,19696447;161,9696447;13,43477387;84,41317376;3,163;31,631;83,46
0,164;590;118;16,19048698;161,9048698;13,43892088;84,43923019;4,697;46,975;82,48
0,165;595;119;16,18401208;161,8401208;13,44306623;84,4652762;3,675;36,747;84,92
0,167;600;120;16,17753977;161,7753977;13,44720992;84,49131179;3,022;30,22;83,95
0,168;605;121;16,17107005;161,7107005;13,45135196;84,51733697;3,057;30,573;86,39
0,169;610;122;16,16460291;161,6460291;13,45549234;84,54335174;4,579;45,793;86,39
0,171;615;123;16,15813836;161,5813836;13,45963106;84,56935611;3,285;32,853;84,43
0,172;620;124;16,1516764;161,516764;13,46376813;84,59535008;3,125;31,251;84,43
0,174;625;125;16,14521702;161,4521702;13,46790354;84,62133365;3,022;30,22;83,46
0,175;630;126;16,13876023;161,3876023;13,4720373;84,64730683;3,172;31,723;83,46
0,176;635;127;16,13230601;161,3230601;13,47616941;84,67326962;4,344;43,437;83,95
0,178;640;128;16,12585438;161,2585438;13,48029986;84,69922203;3,057;30,573;82,97
0,179;645;129;16,11940533;161,1940533;13,48442867;84,72516407;3,273;32,733;81,99
0,181;650;130;16,11295886;161,1295886;13,48855582;84,75109572;4,202;42,019;82,48
0,182;655;131;16,10651496;161,0651496;13,49268132;84,77701701;4,137;41,372;82,48
0,183;660;132;16,10007364;161,0007364;13,49680517;84,80292793;2,987;29,867;81,5
0,185;665;133;16,0936349;160,936349;13,50092737;84,82882849;3,057;30,573;82,48
0,186;670;134;16,08719874;160,8719874;13,50504792;84,85471869;2,951;29,515;81,99
0,188;675;135;16,08076514;160,8076514;13,50916683;84,88059853;3,057;30,573;82,97
0,189;680;136;16,07433412;160,7433412;13,51328409;84,90646803;3,659;36,587;81,99
0,19;685;137;16,06790568;160,6790568;13,5173997;84,93232718;3,027;30,269;82,97
0,192;690;138;16,0614798;160,614798;13,52151366;84,95817598;3,246;32,456;82,97
0,193;695;139;16,05505649;160,5505649;13,52562598;84,98401446;3,061;30,614;81,99
0,194;700;140;16,04863575;160,4863575;13,52973666;85,00984259;3,434;34,344;82,48
0,196;705;141;16,04221758;160,4221758;13,53384569;85,0356604;3,062;30,619;82,48
0,197;710;142;16,03580198;160,3580198;13,53795308;85,06146788;3,022;30,22;81,99
0,199;715;143;16,02938894;160,2938894;13,54205883;85,08726505;3,022;30,22;82,48
0,2;720;144;16,02297847;160,2297847;13,54616293;85,11305189;3,057;30,573;82,48
0,201;725;145;16,01657056;160,1657056;13,55026539;85,13882843;3,294;32,944;82,48
0,203;730;146;16,01016521;160,1016521;13,55436621;85,16459465;3,057;30,573;81,99
0,204;735;147;16,00376243;160,0376243;13,5584654;85,19035057;4,243;42,427;81,99
0,206;740;148;15,9973622;159,973622;13,56256294;85,21609619;3,057;30,573;82,97
0,207;745;149;15,99096454;159,9096454;13,56665884;85,24183151;3,17;31,701;81,5
0,208;750;150;15,98456943;159,8456943;13,57075311;85,26755654;3,057;30,573;83,46
0,21;755;151;15,97817688;159,7817688;13,57484574;85,29327129;3,163;31,631;82,97
0,211;760;152;15,97178689;159,7178689;13,57893673;85,31897575;3,057;30,573;82,97
0,213;765;153;15,96539945;159,6539945;13,58302609;85,34466993;3,218;32,175;81,99
0,214;770;154;15,95901457;159,5901457;13,58711381;85,37035383;3,057;30,573;81,99
0,215;775;155;15,95263224;159,5263224;13,59119989;85,39602746;3,269;32,689;82,48
0,217;780;156;15,94625246;159,4625246;13,59528434;85,42169083;3,062;30,617;82,48
0,218;785;157;15,93987524;159,3987524;13,59936716;85,44734393;3,797;37,975;81,99
0,219;790;158;15,93350056;159,3350056;13,60344835;85,47298677;3,057;30,573;82,48
0,221;795;159;15,92712843;159,2712843;13,6075279;85,49861936;3,504;35,043;82,48
0,222;800;160;15,92075886;159,2075886;13,61160582;85,5242417;4,37;43,695;82,97
0,224;805;161;15,91439183;159,1439183;13,61568211;85,54985379;4,341;43,414;82,97
0,225;810;162;15,90802734;159,0802734;13,61975677;85,57545564;3,165;31,654;82,97
0,226;815;163;15,9016654;159,016654;13,6238298;85,60104724;3,121;31,209;82,97
0,228;820;164;15,89530601;158,9530601;13,6279012;85,62662862;3,121;31,209;82,48
0,229;825;165;15,88894916;158,8894916;13,63197098;85,65219976;3,121;31,209;82,97
0,231;830;166;15,88259485;158,8259485;13,63603912;85,67776068;3,097;30,966;81,99
0,232;835;167;15,87624308;158,7624308;13,64010564;85,70331137;4,086;40,859;84,43
0,233;840;168;15,86989386;158,6989386;13,64417054;85,72885185;3,097;30,966;83,95
0,235;845;169;15,86354717;158,6354717;13,6482338;85,75438211;4,475;44,748;83,95
0,236;850;170;15,85720302;158,5720302;13,65229545;85,77990216;3,097;30,966;83,46
0,238;855;171;15,85086141;158,5086141;13,65635547;85,80541201;4,326;43,262;82,48
0,239;860;172;15,84452233;158,4452233;13,66041386;85,83091165;3,097;30,966;83,95
0,24;865;173;15,83818579;158,3818579;13,66447063;85,8564011;4,348;43,483;84,43
0,242;870;174;15,83185178;158,3185178;13,66852578;85,88188035;3,097;30,966;85,9
0,243;875;175;15,82552031;158,2552031;13,67257931;85,90734941;4,44;44,399;85,41
0,244;880;176;15,81919136;158,1919136;13,67663121;85,93280829;3,097;30,966;84,92
0,246;885;177;15,81286495;158,1286495;13,6806815;85,95825699;4,665;46,651;84,92
0,247;890;178;15,80654107;158,0654107;13,68473017;85,98369551;3,097;30,966;84,43
0,249;895;179;15,80021972;158,0021972;13,68877721;86,00912385;4,308;43,081;84,92
0,25;900;180;15,79390089;157,9390089;13,69282264;86,03454203;3,097;30,966;83,95
0,251;905;181;15,7875846;157,875846;13,69686645;86,05995004;4,252;42,52;82,97
0,253;910;182;15,78127083;157,8127083;13,70090864;86,08534789;3,097;30,966;81,99
0,254;915;183;15,77495958;157,7495958;13,70494922;86,11073558;4,229;42,288;82,48
0,256;920;184;15,76865086;157,6865086;13,70898818;86,13611312;3,097;30,966;82,48
0,257;925;185;15,76234466;157,6234466;13,71302553;86,16148051;3,894;38,936;81,99
0,258;930;186;15,75604098;157,5604098;13,71706126;86,18683775;4,1;41;81,5
0,26;935;187;15,74973983;157,4973983;13,72109538;86,21218486;3,097;30,966;81,5
0,261;940;188;15,74344119;157,4344119;13,72512788;86,23752183;4,151;41,515;82,48
0,263;945;189;15,73714507;157,3714507;13,72915877;86,26284866;3,097;30,966;82,48
0,264;950;190;15,73085147;157,3085147;13,73318805;86,28816537;4,086;40,859;82,48
0,265;955;191;15,72456039;157,2456039;13,73721572;86,31347195;3,097;30,966;82,48
0,267;960;192;15,71827183;157,1827183;13,74124177;86,33876841;4,09;40,899;82,48
0,268;965;193;15,71198577;157,1198577;13,74526622;86,36405475;3,097;30,966;82,97
0,269;970;194;15,70570224;157,0570224;13,74928906;86,38933099;3,973;39,726;81,99
0,271;975;195;15,69942121;156,9942121;13,75331029;86,41459711;3,097;30,966;82,48
0,272;980;196;15,6931427;156,931427;13,75732991;86,43985313;4,368;43,676;82,48
0,274;985;197;15,6868667;156,868667;13,76134792;86,46509905;3,102;31,016;82,48
0,275;990;198;15,68059321;156,8059321;13,76536432;86,49033487;4,21;42,102;83,95
0,276;995;199;15,67432222;156,7432222;13,76937912;86,5155606;3,102;31,015;82,97
0,278;1000;200;15,66805375;156,6805375;13,77339232;86,54077624;4,343;43,433;82,48
0,279;1005;201;15,66178778;156,6178778;13,77740391;86,5659818;3,097;30,966;84,43
0,281;1010;202;15,65552432;156,5552432;13,78141389;86,59117727;4,236;42,36;83,95
0,282;1015;203;15,64926336;156,4926336;13,78542227;86,61636268;3,102;31,021;83,46
0,283;1020;204;15,64300491;156,4300491;13,78942905;86,641538;4,313;43,13;82,97
0,285;1025;205;15,63674895;156,3674895;13,79343423;86,66670327;3,097;30,966;83,46
0,286;1030;206;15,63049551;156,3049551;13,7974378;86,69185846;4,042;40,416;81,99
0,288;1035;207;15,62424456;156,2424456;13,80143977;86,7170036;3,097;30,966;82,48
0,289;1040;208;15,61799611;156,1799611;13,80544015;86,74213868;4,425;44,252;82,48
0,29;1045;209;15,61175016;156,1175016;13,80943892;86,76726371;3,909;39,093;83,46
0,292;1050;210;15,60550671;156,0550671;13,81343609;86,79237869;3,097;30,966;83,46
0,293;1055;211;15,59926576;155,9926576;13,81743167;86,81748362;4,278;42,785;81,99
0,294;1060;212;15,5930273;155,930273;13,82142564;86,84257852;3,097;30,966;80,53
0,296;1065;213;15,58679133;155,8679133;13,82541802;86,86766338;3,871;38,712;80,53
0,297;1070;214;15,58055786;155,8055786;13,8294088;86,89273821;3,097;30,966;82,48
0,299;1075;215;15,57432689;155,7432689;13,83339799;86,91780301;4,248;42,478;82,48
0,3;1080;216;15,5680984;155,680984;13,83738558;86,94285779;3,097;30,966;81,02
0,301;1085;217;15,56187241;155,6187241;13,84137158;86,96790254;4,413;44,128;81,99
0,303;1090;218;15,5556489;155,556489;13,84535598;86,99293729;3,097;30,966;81,5
0,304;1095;219;15,54942789;155,4942789;13,84933879;87,01796201;4,425;44,248;81,5
0,306;1100;220;15,54320936;155,4320936;13,85332001;87,04297674;4,094;40,941;81,02
0,307;1105;221;15,53699332;155,3699332;13,85729963;87,06798145;3,102;31,021;84,92
0,308;1110;222;15,53077977;155,3077977;13,86127767;87,09297617;4,301;43,006;83,95
0,31;1115;223;15,5245687;155,245687;13,86525411;87,11796089;3,097;30,966;84,43
0,311;1120;224;15,51836011;155,1836011;13,86922896;87,14293562;4,463;44,628;83,95
0,313;1125;225;15,51215401;155,1215401;13,87320222;87,16790036;3,102;31,021;83,46
0,314;1130;226;15,50595039;155,0595039;13,87717389;87,19285512;4,254;42,539;83,46
0,315;1135;227;15,49974925;154,9974925;13,88114398;87,2177999;3,097;30,966;82,48
0,317;1140;228;15,49355059;154,9355059;13,88511248;87,2427347;4,078;40,777;81,99
0,318;1145;229;15,48735441;154,8735441;13,88907939;87,26765953;4,296;42,963;82,48
0,319;1150;230;15,4811607;154,811607;13,89304471;87,29257439;3,102;31,018;81,5
0,321;1155;231;15,47496948;154,7496948;13,89700845;87,31747929;4,451;44,509;81,5
0,322;1160;232;15,46878073;154,6878073;13,9009706;87,34237423;3,097;30,966;80,53
0,324;1165;233;15,46259445;154,6259445;13,90493117;87,36725921;3,601;36,015;80,04
0,325;1170;234;15,45641065;154,5641065;13,90889015;87,39213424;3,102;31,022;81,02
0,326;1175;235;15,45022932;154,5022932;13,91284755;87,41699932;4,507;45,065;81,02
0,328;1180;236;15,44405047;154,4405047;13,91680337;87,44185446;4,273;42,726;81,99
0,329;1185;237;15,43787408;154,3787408;13,92075761;87,46669966;3,097;30,966;81,5
0,331;1190;238;15,43170017;154,3170017;13,92471026;87,49153492;4,538;45,382;81,5
0,332;1195;239;15,42552872;154,2552872;13,92866134;87,51636025;3,097;30,966;81,5
0,333;1200;240;15,41935974;154,1935974;13,93261083;87,54117565;4,187;41,869;81,5
0,335;1205;241;15,41319323;154,1319323;13,93655874;87,56598113;3,102;31,021;81,5
0,336;1210;242;15,40702919;154,0702919;13,94050508;87,59077669;4,344;43,435;80,53
0,338;1215;243;15,40086761;154,0086761;13,94444984;87,61556233;3,097;30,966;81,5
0,339;1220;244;15,3947085;153,947085;13,94839302;87,64033806;3,742;37,424;81,99
0,34;1225;245;15,38855184;153,8855184;13,95233462;87,66510388;3,108;31,076;82,48
0,342;1230;246;15,38239765;153,8239765;13,95627465;87,6898598;3,168;31,68;81,99
0,343;1235;247;15,37624592;153,7624592;13,9602131;87,71460581;3,112;31,118;80,53
0,344;1240;248;15,37009666;153,7009666;13,96414997;87,73934193;3,168;31,681;80,53
0,346;1245;249;15,36394985;153,6394985;13,96808527;87,76406816;3,109;31,09;80,53
0,347;1250;250;15,3578055;153,578055;13,972019;87,7887845;3,846;38,459;81,02
0,349;1255;251;15,3516636;153,516636;13,97595116;87,81349095;3,103;31,031;81,5
0,35;1260;252;15,34552417;153,4552417;13,97988174;87,83818752;3,638;36,38;81,02
0,351;1265;253;15,33938718;153,3938718;13,98381075;87,86287422;3,12;31,197;81,02
0,353;1270;254;15,33325266;153,3325266;13,98773819;87,88755104;4,75;47,497;79,55
0,354;1275;255;15,32712058;153,2712058;13,99166405;87,912218;3,132;31,32;80,53
0,356;1280;256;15,32099096;153,2099096;13,99558835;87,93687509;3,132;31,32;80,53
0,357;1285;257;15,31486379;153,1486379;13,99951108;87,96152232;3,132;31,319;81,02
0,358;1290;258;15,30873907;153,0873907;14,00343224;87,98615969;3,132;31,319;81,02
0,36;1295;259;15,3026168;153,026168;14,00735183;88,01078721;3,132;31,32;80,53
0,361;1300;260;15,29649697;152,9649697;14,01126985;88,03540488;3,132;31,32;80,53
0,363;1305;261;15,2903796;152,903796;14,01518631;88,06001271;3,132;31,32;80,53
0,364;1310;262;15,28426467;152,8426467;14,0191012;88,08461069;4,612;46,121;80,53
0,365;1315;263;15,27815219;152,7815219;14,02301453;88,10919884;3,097;30,966;81,5
0,367;1320;264;15,27204215;152,7204215;14,02692629;88,13377715;4,552;45,524;80,04
0,368;1325;265;15,26593455;152,6593455;14,03083648;88,15834564;4,785;47,851;81,02
0,369;1330;266;15,2598294;152,598294;14,03474511;88,1829043;3,097;30,966;80,04
0,371;1335;267;15,25372669;152,5372669;14,03865218;88,20745313;3,504;35,039;80,53
0,372;1340;268;15,24762642;152,4762642;14,04255769;88,23199215;3,107;31,073;79,55
0,374;1345;269;15,24152859;152,4152859;14,04646163;88,25652136;3,507;35,067;79,55
0,375;1350;270;15,23543319;152,3543319;14,05036402;88,28104076;3,109;31,09;80,04
0,376;1355;271;15,22934024;152,2934024;14,05426484;88,30555035;3,379;33,793;80,04
0,378;1360;272;15,22324972;152,2324972;14,0581641;88,33005014;3,114;31,138;80,04
0,379;1365;273;15,21716164;152,1716164;14,06206181;88,35454013;4,646;46,457;79,06
0,381;1370;274;15,21107599;152,1107599;14,06595795;88,37902032;3,121;31,208;80,53
0,382;1375;275;15,20499278;152,0499278;14,06985254;88,40349073;3,553;35,532;80,04
0,383;1380;276;15,198912;151,98912;14,07374557;88,42795135;3,117;31,167;80,53
0,385;1385;277;15,19283365;151,9283365;14,07763704;88,45240219;3,117;31,167;79,06
0,386;1390;278;15,18675773;151,8675773;14,08152695;88,47684325;3,104;31,041;80,53
0,388;1395;279;15,18068424;151,8068424;14,08541531;88,50127453;3,121;31,214;80,53
0,389;1400;280;15,17461318;151,7461318;14,08930212;88,52569605;3,121;31,214;80,04
0,39;1405;281;15,16854455;151,6854455;14,09318737;88,5501078;4,772;47,724;81,02
0,392;1410;282;15,16247835;151,6247835;14,09707106;88,57450978;4,885;48,851;81,5
0,393;1415;283;15,15641457;151,5641457;14,10095321;88,59890201;4,757;47,566;81,02
0,394;1420;284;15,15035321;151,5035321;14,1048338;88,62328448;3,132;31,32;81,5
0,396;1425;285;15,14429429;151,4429429;14,10871284;88,6476572;3,132;31,32;81,99
0,397;1430;286;15,13823778;151,3823778;14,11259032;88,67202018;3,132;31,32;80,04
0,399;1435;287;15,13218369;151,3218369;14,11646626;88,69637341;4,937;49,374;81,5
0,4;1440;288;15,12613203;151,2613203;14,12034065;88,7207169;4,852;48,522;80,53
0,401;1445;289;15,12008279;151,2008279;14,12421349;88,74505065;3,132;31,32;80,53
0,403;1450;290;15,11403597;151,1403597;14,12808477;88,76937468;3,132;31,32;81,02
0,404;1455;291;15,10799156;151,0799156;14,13195452;88,79368897;3,097;30,966;80,53
0,406;1460;292;15,10194957;151,0194957;14,13582271;88,81799354;3,097;30,966;81,02
0,407;1465;293;15,09591;150,9591;14,13968935;88,8422884;3,097;30,966;81,02
0,408;1470;294;15,08987284;150,8987284;14,14355445;88,86657353;4,2;42,001;79,55
0,41;1475;295;15,0838381;150,838381;14,14741801;88,89084896;3,472;34,722;80,04
0,411;1480;296;15,07780577;150,7780577;14,15128002;88,91511467;3,097;30,966;80,04
0,413;1485;297;15,07177586;150,7177586;14,15514048;88,93937069;3,802;38,022;79,55
0,414;1490;298;15,06574835;150,6574835;14,1589994;88,963617;3,132;31,32;79,55
0,415;1495;299;15,05972326;150,5972326;14,16285678;88,98785361;4,051;40,507;79,55
0,417;1500;300;15,05370057;150,5370057;14,16671261;89,01208053;3,132;31,319;81,02
0,418;1505;301;15,0476803;150,476803;14,1705669;89,03629777;4,246;42,462;81,99
0,419;1510;302;15,04166243;150,4166243;14,17441966;89,06050532;3,132;31,32;81,99
0,421;1515;303;15,03564697;150,3564697;14,17827087;89,08470318;4,281;42,808;81,5
0,422;1520;304;15,02963391;150,2963391;14,18212054;89,10889137;3,132;31,319;81,99
0,424;1525;305;15,02362326;150,2362326;14,18596867;89,13306989;4,062;40,622;81,5
0,425;1530;306;15,01761501;150,1761501;14,18981526;89,15723874;3,097;30,966;80,04
0,426;1535;307;15,01160917;150,1160917;14,19366031;89,18139792;4,091;40,911;80,53
0,428;1540;308;15,00560572;150,0560572;14,19750383;89,20554744;3,097;30,966;79,55
0,429;1545;309;14,99960468;149,9960468;14,2013458;89,2296873;4,236;42,36;81,02
0,431;1550;310;14,99360604;149,9360604;14,20518625;89,25381751;3,132;31,32;81,99
0,432;1555;311;14,9876098;149,876098;14,20902515;89,27793807;3,772;37,721;81,02
0,433;1560;312;14,98161595;149,8161595;14,21286252;89,30204898;4,403;44,03;81,02
0,435;1565;313;14,9756245;149,756245;14,21669836;89,32615025;4,113;41,133;80,53
